#   Eu     tau_cool[s]
   231.015662701965263262038080406055105         28727.3958194964419259006976914947765      
   245.529899377991965882821231652925654         27420.7662882993258823316041322916017      
   260.956035549593115295062170333193521         26253.7772342422281722101559043149749      
   277.351363977565593562538968431833737         25202.5635290035598289662991638336404      
   294.776777008467278236586935336006162         24246.8215484634830183236861713089974      
   313.296992729151586388731211392687465         23369.4295970804252663549770108983081      
   332.980795330124058400289553050612657         22556.1250298728621031300106814095801      
   353.901290570431906649272375744522846         21795.2068970523194704555947556931764      
   376.136177292884636806062012300795760         21077.2468644959567680002704105866767      
   399.768035998014873793000705895340282         20394.7964541709226872183986302779695      
   424.884635548544786275434234093671837         19742.0907839753276646330212262091515      
   451.579259143460308363288352678231293         19114.7553982935135582922589742572341      
   479.951050772362794303436132727518836         18509.5271080240967626311220754231675      
   510.105383436831613217779253293412392         17923.9993739826974730211847191698297      
   542.154250506373998057010251491530514         17356.4030302049053362294403249644968      
   576.216681662460456558260167846386911         16805.4249509635925287317542407948345      
   612.419184975464346907735179796997431         16270.0675904241349663977489994187516      
   650.896216756381981131347735036194195         15749.5447488594039257213911491863922      
   691.790680928365318061988885775701479         15243.2085770140895861713725897464110      
   735.254459772736065935802563273296206         14750.5002993592666624160432823282882      
   781.448978020675023818728783507734518         14270.9199978257801494241672476558760      
   830.545802385626525730470193627998332         13804.0078931306571001072142142101188      
   882.727278763084876419677652291910558         13349.3337001017763606047926446021795      
   938.187209464326546799669764204343794         12906.4907531816171012907027716769770      
   997.131572999338207912977258661525221         12475.0929684852877979165922052820672      
   1059.77928908221864679161385962040615         12054.7730338642916541162926390374757      
   1126.36303170028914251115728838268267         11645.1817453606879739250393391535102      
   1197.13009326665577766260546714069683         11245.9870352976214050313409116272014      
   1272.34330306569140248341758669895168         10856.8738518498139757228143393655738      
   1352.28200340254919295289186497780654         10477.5437077588809918410996775453299      
   1437.24308708213285810548575121474096         10107.7135448918233535240158295446555      
   1527.54210007072651581907645149433960         9747.11638673753956828840298188901424      
   1623.51441343557603909629914199463458         9395.50027629926266225453545121656287      
   1725.51646891501239554413474138478800         9052.62796306937624061895751697835076      
   1833.92710274517177033723245767513040         8718.27646711737710715279617263298755      
   1949.14895266001272532801003039025078         8392.23654905182185577641406142589295      
   2071.60995329023676310423425062749111         8074.31232000529514703309377060472100      
   2201.76492551503271383125537996018267         7764.32067915519315252423859983722224      
   2340.09726566950670496740594014953820         7462.09080920661902304483838565895131      
   2487.12074088152407961208778117306296         7167.46366214786855305705707554960358      
   2643.38139720585489167131882857240113         6880.29141434596418364207104819033270      
   2809.45958764244445731627149689299396         6600.43691357732784780639673495870224      
   2985.97212757088079030711144333771544         6327.77310487833418875060138906930340      
   3173.57458560635525607824016483652047         6062.18250859516099854238844089079568      
   3372.96371838536900464535162627924967         5803.55647516151760761201188999810481      
   3584.88005832399366778858185785131327         5551.79481477759833334119623668134906      
   3810.11066395963577545168701785359095         5306.80499023918314849095033140839888      
   4049.49204309109043878885421629504092         5068.50158262519653645339854687713172      
   4303.91325957344371360019610725659095         4836.80564119080648380337779844616597      
   4574.31923530647824995186434824527578         4611.64408554963799207873158850896595      
   4861.71425968018665714652041964182538         4392.94895353449450961946750103697019      
   5167.16571951149393581776773712058752         4180.65689564280977558368991570380662      
   5491.80806332519598088663935832224528         3974.70841931452955603502387150454626      
   5836.84701470247696086448554058995682         3775.04727694032865521885228406279396      
   6203.56405034540683709973286610548236         3581.61980616840153825100047280597801      
   6593.32115948897699933963037151072068         3394.37428040470181517769026403060254      
   7007.56590233715841124675951255225380         3213.26026018418672541695166521691809      
   7447.83678631004364415536660667939265         3038.22795383577320112855448085991099      
   7915.76898006948641885083247566762106         2869.22764510825418198937781559929628      
   8413.10038654516360869899120853392840         2706.20895165211053376562125115666973      
   8941.67809751631434553830822588487084         2549.12036970553805247089380843854562      
   9503.46525372151090670889900433386102         2397.90861334445742323617263214449504      
   10100.5483359749495653299759197551161         2252.51808695556392052030593530190723      
   10735.1449143685103451746582400525447         2112.89035275771001822422839540118850      
   11409.6118843401678711367564002357181         1978.96361150492087423736052863047908      
   12126.4542201975600080697572079676968         1850.67229541479722031118351856332430      
   12888.3342786073524911767950994582684         1727.94656091066205223116265795548854      
   13698.0816866036139637154738976228152         1610.71197006890005878031983642850237      
   14558.7038508393228926632197757746289         1498.88911096117573537317100526980916      
   15473.3971271124284917834014195263789         1392.39331251268092167296631199844845      
   16445.5586916501513725057696243999832         1291.13439439125311391960551122323154      
   17478.7991582415438876386494963240551         1195.01648259128765302601908662245148      
   18576.9559880784149719335815484393641         1103.93788655104728032456421106364928      
   19744.1077421088478283687375916546291         1017.79099651700088905493156005884876      
   20984.5892288366355519292111288327800         936.462310802040337683002709506639530      
   22303.0076038256512074134330894867334         859.832444001511629291612254087923996      
   23704.2594807028066219675123601607856         787.776284957410511525901077286694400      
   25193.5491172099658820889413176136856         720.163137823272994949412754508726708      
   26776.4077438479176882841622920859327         656.857003329732418513810163321382326      
   28458.7141068991043715178473599745466         597.716855785120920770288236128333897      
   30246.7163021260152459236199604112798         542.597039858864109383614903633570385      
   32147.0549802357290080370836392380213         491.347686087982420656939493720645579      
   34166.7880102958374674683034144366439         443.815192443852436567707762005393195      
   36313.4166927018229300172501498230110         399.842785639571006019793208021925301      
   38594.9136190510047996082641503980436         359.271098559558541761022701254399781      
   41019.7522823947916846618169593424337         321.938780655970350626714101276588298      
   43596.9385478418906530894743859663480         287.683197093891728409664405161774483      
   46336.0441003944797160055365382838882         256.341082780055065607974242734979717      
   49247.2419942428045166550254911746103         227.749274922429799067141383294392627      
   52341.3444355484891927938298775755265         201.745433966108325687139876648421450      
   55629.8429390420416487676191855753717         178.168746520696033158741296146771294      
   59124.9510075763934034408600377622806         156.860659647883505287330985915940190      
   62839.6494931485877847457254594297710         137.665556400667728591396512135317675      
   66787.7348078607187724301717018115340         120.431437931068732449327359552012178      
   70983.8701638759139897731208339247673         105.010539590664947669111946200506825      
   75443.6400326748608181943696148974902         91.2599209473011413056894288067568194      
   80183.6080258748758283482799172316874         79.0419856717083210507658534998046213      
   85221.3784125812212035587240806217724         68.2249487020874749500107056003499462      
   90575.6615017464740620708203175474065         58.6832339281958264429881757781356461      
   96266.3431323684173069694223624178101         50.2977909845962693353117950356539867      
   102314.558529613457148827012390468760         42.9563463740815382591761927189135253      
   108742.770801167645622870263534115482         36.5535685306443511020268563677788547      
   115574.854365351219137185849334208540         30.9911599690737666011033720909930494      
   122836.183620849162897650405061293033         26.1778730314036675722782834728114597      
   130553.727187377703914961159598612940         22.0294536275539305422987819061724280      
   138756.148067297124221353354173608513         18.4685195558716617956798509650999593      
   147473.910100171715507304580583598515         15.4243795252926505812491217833455394      
   156739.391105649739217017289596444904         12.8327971039788784402157278109089796      
   166587.003134876716120761660749731903         10.6357147508404561119369898443664685      
   177053.320277056504127240176688247084         8.78093791630854880546427344432037509      
   188177.214495834486580283299484166652         7.22179437021407518976224005519887118      
   199999.999999999999999999999999999823         5.91677302987058214946092776444320882      
